l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Jorge Gurgel,Diego Saraiva,Jorge Gurgel,1,0,5,1.4,2.539993,0,,-18,Orthodox vs Orthodox,-5,1.1,-2.539993,0,,18,Orthodox vs Orthodox,Lightweight
Jorge Gurgel,John Halverson,Jorge Gurgel,1,0,-4,1.4,-5.080002,0,,0,Orthodox vs Southpaw,4,2,5.080002,0,,0,Southpaw vs Orthodox,Lightweight
Jorge Gurgel,Alvin Robinson,Alvin Robinson,0,1,5,1.4,-5.080002,0,2.539993,0,Orthodox vs Southpaw,-5,1.666667,5.080002,0,-2.539993,0,Southpaw vs Orthodox,Lightweight
Jorge Lopez,Amir Sadollah,Amir Sadollah,0,1,-8,2.2,0,0,,5,Orthodox vs Orthodox,8,1.2,0,0,,-5,Orthodox vs Orthodox,Welterweight
Jorge Masvidal,Kamaru Usman,Kamaru Usman,0,1,2,2.058824,-2.540009,0,-5.079987,29,Orthodox vs Switch,-2,6.666667,2.540009,0,5.079987,-29,Switch vs Orthodox,Welterweight
Jorge Masvidal,Ross Pearson,Jorge Masvidal,1,0,0,2.058824,7.619995,15,12.70001,16,Orthodox vs Orthodox,0,1.25,-7.619995,-15,-12.70001,-16,Orthodox vs Orthodox,Welterweight
Jorge Masvidal,Tim Means,Jorge Masvidal,1,0,-1,2.058824,-7.62001,0,-2.539993,4,Orthodox vs Orthodox,1,2.2,7.62001,0,2.539993,-4,Orthodox vs Orthodox,Lightweight
Jorge Masvidal,Darren Till,Jorge Masvidal,1,0,8,2.058824,-2.540009,-15,0,29,Orthodox vs Southpaw,-8,3.6,2.540009,15,0,-29,Southpaw vs Orthodox,Welterweight
Jorge Masvidal,Stephen Thompson,Stephen Thompson,0,1,-2,2.058824,-2.540009,0,-2.539993,29,Orthodox vs Orthodox,2,2.833333,2.540009,0,2.539993,-29,Orthodox vs Orthodox,Welterweight
Jorge Masvidal,Kamaru Usman,Kamaru Usman,0,1,3,2.058824,-2.540009,0,-5.079987,29,Orthodox vs Switch,-3,6.666667,2.540009,0,5.079987,-29,Switch vs Orthodox,Welterweight
Jorge Rivera,Eric Schafer,Jorge Rivera,1,0,5,2.222222,-5.080002,0,-7.619995,7,Orthodox vs Orthodox,-5,1.75,5.080002,0,7.619995,-7,Orthodox vs Orthodox,Middleweight
Jorge Santiago,Brian Stann,Brian Stann,0,1,0,2.083333,0,-35,2.539993,19,Orthodox vs Orthodox,0,2,0,35,-2.539993,-19,Orthodox vs Orthodox,Middleweight
Jose Aldo,Conor McGregor,Conor McGregor,0,1,2,3.875,-5.080002,-20,-10.16,11,Orthodox vs Southpaw,-2,3.666667,5.080002,20,10.16,-11,Southpaw vs Orthodox,Featherweight
Jose Aldo,Chad Mendes,Jose Aldo,1,0,-1,3.875,2.539993,-10,10.16,16,Orthodox vs Orthodox,1,3.6,-2.539993,10,-10.16,-16,Orthodox vs Orthodox,Featherweight
Jose Aldo,Mark Hominick,Jose Aldo,1,0,-4,3.875,-2.540009,-10,5.080002,7,Orthodox vs Orthodox,4,1.666667,2.540009,10,-5.080002,-7,Orthodox vs Orthodox,Featherweight
Jose Aldo,Renato Moicano,Jose Aldo,1,0,3,3.875,-10.16,-20,-5.080002,17,Orthodox vs Orthodox,-3,3.4,10.16,20,5.080002,-17,Orthodox vs Orthodox,Featherweight
Jose Aldo,Chan Sung Jung,Jose Aldo,1,0,0,3.875,0,-10,-5.080002,14,Orthodox vs Orthodox,0,2.125,0,10,5.080002,-14,Orthodox vs Orthodox,Featherweight
