l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Jessica Andrade,Liz Carmouche,Liz Carmouche,0,20,14,15,10,1,1,1,0,0,166,114,83,50,3,3,1,0,21,472,KO/TKO,3,2,3:57,0,1
Jessica Andrade,Rose Namajunas,Jessica Andrade,0,107,49,105,47,4,2,0,0,1,125,55,125,55,2,0,1,0,38,29,KO/TKO,5,2,2:58,1,0
Jessica Andrade,Valentina Shevchenko,Valentina Shevchenko,0,55,47,15,10,2,0,0,0,0,97,90,39,32,7,7,1,0,57,311,KO/TKO,5,2,3:19,0,1
Jessica Andrade,Joanna Jedrzejczyk,Joanna Jedrzejczyk,0,230,94,218,83,10,2,0,0,0,357,230,352,225,0,0,0,0,211,16,Decision,5,5,5:00,0,1
Jessica Andrade,Joanne Wood,Jessica Andrade,0,58,44,28,20,3,2,1,0,0,36,23,26,13,0,0,0,0,209,12,Submission,3,1,4:38,1,0
Jessica Eye,Valentina Shevchenko,Valentina Shevchenko,0,52,42,12,2,0,0,0,0,1,40,37,11,8,2,2,1,0,2,256,KO/TKO,5,2,0:26,0,1
Jessica Eye,Miesha Tate,Miesha Tate,0,168,81,143,56,0,0,0,0,1,148,84,122,58,4,1,2,0,6,368,Decision,3,3,5:00,0,1
Jessica Eye,Leslie Smith,Jessica Eye,0,189,84,185,80,0,0,0,0,0,100,29,98,28,0,0,0,0,0,0,"TKO - Doctor's Stoppage",3,2,1:30,1,0
Jessica Eye,Jennifer Maia,Jennifer Maia,0,281,104,276,100,3,2,0,0,0,269,102,265,98,0,0,0,0,56,4,Decision,3,3,5:00,0,1
Jessica Eye,Kalindra Faria,Jessica Eye,0,86,53,49,25,4,3,6,0,0,91,52,70,38,2,1,1,0,384,63,Decision,3,3,5:00,1,0
Jessica Eye,Sara McMann,Sara McMann,0,34,19,24,10,0,0,0,0,0,88,56,51,22,5,2,1,0,0,478,Decision,3,3,5:00,0,1
Jessica Eye,Julianna Pena,Julianna Pena,0,104,77,54,30,1,1,1,0,0,139,100,68,34,6,3,3,0,344,438,Decision,3,3,5:00,0,1
Jessica Eye,Joanne Wood,Joanne Wood,0,218,104,173,77,4,1,0,0,0,319,214,240,148,3,1,0,0,303,19,Decision,3,3,5:00,0,1
Jessica Penne,Tabatha Ricci,Tabatha Ricci,0,44,19,25,6,1,0,0,0,0,109,81,54,36,5,4,1,0,0,314,Submission,3,2,2:14,0,1
