_id,Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
288,2015,0500000US51083,Halifax County,Virginia,51,83,35240,2552
289,2015,0500000US51107,Loudoun County,Virginia,51,107,123453,1436
290,2015,0500000US51153,Prince William County,Virginia,51,153,98657,1268
291,2015,0500000US51175,Southampton County,Virginia,51,175,48962,4005
292,2015,0500000US51091,Highland County,Virginia,51,91,43914,5532
293,2015,0500000US51033,Caroline County,Virginia,51,33,59227,4268
294,2015,0500000US51073,Gloucester County,Virginia,51,73,61121,4014
295,2015,0500000US51141,Patrick County,Virginia,51,141,33982,4111
296,2015,0500000US51145,Powhatan County,Virginia,51,145,77896,3407
297,2015,0500000US51171,Shenandoah County,Virginia,51,171,49406,3055
298,2015,0500000US51061,Fauquier County,Virginia,51,61,91609,3727
299,2015,0500000US51790,Staunton city,Virginia,51,790,40842,2458
300,2015,0500000US51065,Fluvanna County,Virginia,51,65,63938,3207
301,2015,0500000US51007,Amelia County,Virginia,51,7,56850,7882
302,2015,0500000US51750,Radford city,Virginia,51,750,29912,5745
303,2015,0500000US51840,Winchester city,Virginia,51,840,45363,2293
304,2015,0500000US51001,Accomack County,Virginia,51,1,39412,2723
305,2015,0500000US51045,Craig County,Virginia,51,45,44330,5528
306,2015,0500000US51063,Floyd County,Virginia,51,63,48005,4456
307,2015,0500000US51071,Giles County,Virginia,51,71,46390,1866
308,2015,0500000US51077,Grayson County,Virginia,51,77,29942,1952
309,2015,0500000US51135,Nottoway County,Virginia,51,135,36284,1965
310,2015,0500000US51157,Rappahannock County,Virginia,51,157,57210,4021
311,2015,0500000US51036,Charles City County,Virginia,51,36,49563,3732
312,2015,0500000US51047,Culpeper County,Virginia,51,47,66697,3512
313,2015,0500000US51053,Dinwiddie County,Virginia,51,53,51397,2129
314,2015,0500000US51079,Greene County,Virginia,51,79,61550,5109
315,2015,0500000US51085,Hanover County,Virginia,51,85,78645,2618
316,2015,0500000US51111,Lunenburg County,Virginia,51,111,39506,3696
317,2015,0500000US51137,Orange County,Virginia,51,137,65166,2789
318,2015,0500000US51595,Emporia city,Virginia,51,595,28601,5096
319,2015,0500000US51197,Wythe County,Virginia,51,197,41360,2679
320,2015,0500000US51550,Chesapeake city,Virginia,51,550,68620,1695
321,2015,0500000US51660,Harrisonburg city,Virginia,51,660,38750,2789
322,2015,0500000US51003,Albemarle County,Virginia,51,3,68449,3020
323,2015,0500000US51019,Bedford County,Virginia,51,19,56316,1620
324,2015,0500000US51029,Buckingham County,Virginia,51,29,40331,2976
325,2015,0500000US51195,Wise County,Virginia,51,195,37407,3099
326,2015,0500000US51580,Covington city,Virginia,51,580,34746,3605
327,2015,0500000US51049,Cumberland County,Virginia,51,49,39301,6122
328,2015,0500000US51051,Dickenson County,Virginia,51,51,33624,3355
329,2015,0500000US51740,Portsmouth city,Virginia,51,740,45676,1325
330,2015,0500000US51810,Virginia Beach city,Virginia,51,810,66634,918
331,2015,0500000US51005,Alleghany County,Virginia,51,5,45007,2876
332,2015,0500000US51640,Galax city,Virginia,51,640,30604,2670
333,2015,0500000US51193,Westmoreland County,Virginia,51,193,47911,6049
334,2015,0500000US51133,Northumberland County,Virginia,51,133,51885,3617
335,2015,0500000US51155,Pulaski County,Virginia,51,155,47495,3279
336,2015,0500000US51187,Warren County,Virginia,51,187,61454,5225
337,2015,0500000US51590,Danville city,Virginia,51,590,32315,1578
