l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Edson Barboza,Anthony Pettis,Edson Barboza,2016-04-23,1,0,1,-1,2.090909,2.4,2.539993,-2.539993,-10,10,7.619995,-7.619995,0,0,34,34,0,0,-0.309091091156006,0.309091091156006,0,0,1,0,0,0,1,-1,134,97,37,-37
Charles Oliveira,Anthony Pettis,Anthony Pettis,2016-08-27,0,1,-3,3,3.777778,2.4,0,0,0,0,5.080002,-5.080002,297,191,43,34,9,-9,1.37777757644653,-1.37777757644653,1,0,1,0,1,-1,1,-1,624,126,498,-498
Max Holloway,Anthony Pettis,Max Holloway,2016-12-10,1,0,-4,4,3.571429,2.4,2.539993,-2.539993,-10,10,-7.62001,7.62001,36,84,32,34,-2,2,1.17142844200134,-1.17142844200134,5,1,0,0,4,-4,0,0,189,105,84,-84
Jim Miller,Anthony Pettis,Anthony Pettis,2017-07-08,0,1,3,-3,2.117647,2.4,-5.080002,5.080002,0,0,-2.540009,2.540009,110,217,53,34,19,-19,-0.282352924346924,0.282352924346924,0,0,0,1,0,0,-1,1,147,210,-63,63
Michael Chiesa,Anthony Pettis,Anthony Pettis,2018-07-07,0,1,-1,1,2.571429,2.4,7.619995,-7.619995,15,-15,7.619995,-7.619995,158,64,25,34,-9,9,0.171428442001343,-0.171428442001343,0,1,1,1,-1,1,0,0,377,364,13,-13
Tony Ferguson,Anthony Pettis,Tony Ferguson,2018-10-06,1,0,3,-3,2.888889,2.4,2.539993,-2.539993,0,0,10.15999,-10.15999,4,71,35,34,1,-1,0.488888740539551,-0.488888740539551,7,2,0,1,5,-5,-1,1,364,91,273,-273
Nate Diaz,Anthony Pettis,Nate Diaz,2019-08-17,1,0,2,-2,1.692308,2.4,5.080002,-5.080002,15,-15,10.15999,-10.15999,358,109,35,34,1,-1,-0.707692384719849,0.707692384719849,0,0,1,2,0,0,-1,1,1092,315,777,-777
Diego Ferreira,Anthony Pettis,Diego Ferreira,2020-01-18,1,0,3,-3,3.6,2.4,-2.540009,2.540009,0,0,5.080002,-5.080002,234,0,23,34,-11,11,1.19999980926514,-1.19999980926514,4,0,1,2,4,-4,-1,1,133,154,-21,21
Donald Cerrone,Anthony Pettis,Anthony Pettis,2020-05-09,0,1,4,-4,2.117647,2.4,7.619995,-7.619995,0,0,2.539993,-2.539993,106,0,53,34,19,-19,-0.282352924346924,0.282352924346924,0,0,7,2,0,0,5,-5,112,112,0,0
Alex Morono,Anthony Pettis,Anthony Pettis,2020-12-19,0,1,-3,3,2.875,2.4,2.539993,-2.539993,15,-15,0,0,150,272,31,34,-3,3,0.474999904632568,-0.474999904632568,0,1,1,2,-1,1,-1,1,315,224,91,-91
Rashid Magomedov,Anthony Rocco Martin,Rashid Magomedov,2014-02-01,1,0,5,-5,10,2.833333,-7.62001,7.62001,-15,15,-7.619995,7.619995,128,362,22,23,-1,1,7.16666674613953,-7.16666674613953,0,0,0,0,0,0,0,0,0,0,0,0
Beneil Dariush,Anthony Rocco Martin,Beneil Dariush,2014-08-23,1,0,1,-1,4.4,2.833333,-5.080002,5.080002,-15,15,-2.539993,2.539993,71,140,27,23,4,-4,1.56666684150696,-1.56666684150696,0,0,1,0,0,0,1,-1,134,203,-69,69
Fabricio Camoes,Anthony Rocco Martin,Anthony Rocco Martin,2014-10-25,0,1,11,-11,1.555556,2.833333,-5.080002,5.080002,-15,15,-5.080002,5.080002,3,177,23,23,0,0,-1.27777767181396,1.27777767181396,0,0,0,0,0,0,0,0,301,63,238,-238
Felipe Olivieri,Anthony Rocco Martin,Anthony Rocco Martin,2016-01-30,0,1,4,-4,2.8,2.833333,-7.62001,7.62001,-15,15,-7.419998,7.419998,19,241,19,23,-4,4,-3.33333015441895e-02,3.33333015441895e-02,0,1,0,0,-1,1,0,0,0,462,-462,462
Johnny Case,Anthony Rocco Martin,Anthony Rocco Martin,2017-06-25,0,1,0,0,3.666667,2.833333,-5.080002,5.080002,-15,15,-2.539993,2.539993,52,0,28,23,5,-5,0.833333492279053,-0.833333492279053,0,2,0,0,-2,2,0,0,463,512,-49,49
Olivier Aubin-Mercier,Anthony Rocco Martin,Olivier Aubin-Mercier,2017-09-16,1,0,1,-1,2.2,2.833333,-7.62001,7.62001,-15,15,-7.619995,7.619995,304,311,16,23,-7,7,-0.633333206176758,0.633333206176758,2,3,0,0,-1,1,0,0,280,83,197,-197
Keita Nakamura,Anthony Rocco Martin,Anthony Rocco Martin,2018-04-21,0,1,5,-5,3.4,2.833333,-2.540009,2.540009,0,0,0,0,98,32,44,23,21,-21,0.566666841506958,-0.566666841506958,0,0,0,0,0,0,0,0,567,217,350,-350
