l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Steve Berger,Tony DeSouza,Tony DeSouza,0,1,1,0.9130435,-2.540009,0,15.2,29,Orthodox vs Southpaw,-1,2.75,2.540009,0,-15.2,-29,Southpaw vs Orthodox,Welterweight,-1.83695650100708,1.83695650100708
Steve Berger,Robbie Lawler,Robbie Lawler,0,1,9,0.9130435,0,0,5.039993,-2,Orthodox vs Southpaw,-9,1.875,0,0,-5.039993,2,Southpaw vs Orthodox,Welterweight,-0.96195650100708,0.96195650100708
Steve Bosse,Thiago Santos,Thiago Santos,0,1,2,6,-7.62001,0,-10.15999,-19,Orthodox vs Orthodox,-2,2,7.62001,0,10.15999,19,Orthodox vs Orthodox,Middleweight,4,-4
Steve Bosse,James Te Huna,Steve Bosse,1,0,0,6,-7.62001,20,-7.619995,-11,Orthodox vs Orthodox,0,1.777778,7.62001,-20,7.619995,11,Orthodox vs Orthodox,Light Heavyweight,4.22222220897675,-4.22222220897675
Steve Bosse,"Sean O'Connell",Steve Bosse,1,0,2,6,-5.080002,0,-5.080002,-12,Orthodox vs Orthodox,-2,1.888889,5.080002,0,5.080002,12,Orthodox vs Orthodox,Light Heavyweight,4.11111116409302,-4.11111116409302
Steve Bruno,Matthew Riddle,Matthew Riddle,0,1,4,2.5,-7.619995,0,-13.03999,10,Orthodox vs Southpaw,-4,2.666667,7.619995,0,13.03999,-10,Southpaw vs Orthodox,Welterweight,-0.166666746139526,0.166666746139526
Steve Bruno,Chris Wilson,Chris Wilson,0,1,-5,2.5,-7.619995,0,-10.5,-7,Orthodox vs Orthodox,5,1.8,7.619995,0,10.5,7,Orthodox vs Orthodox,Welterweight,0.700000047683716,-0.700000047683716
Steve Bruno,Johnny Rees,Steve Bruno,1,0,1,2.5,-5.080002,0,-5,3,Orthodox vs Orthodox,-1,2.6,5.080002,0,5,-3,Orthodox vs Orthodox,Welterweight,-9.99999046325684e-02,9.99999046325684e-02
Steve Byrnes,Logan Clark,Logan Clark,0,1,,6,-5.080002,-15,2,-17,Orthodox vs Orthodox,,3,5.080002,15,-2,17,Orthodox vs Orthodox,Middleweight,3,-3
Steve Cantwell,Cyrille Diabate,Cyrille Diabate,0,1,-13,1.166667,-10.15999,-20,-15.24001,-16,Orthodox vs Southpaw,13,1.9,10.15999,20,15.24001,16,Southpaw vs Orthodox,Light Heavyweight,-0.733333349227905,0.733333349227905
Steve Cantwell,Riki Fukuda,Riki Fukuda,0,1,-6,1.166667,5.080002,0,5.080002,-20,Orthodox vs Southpaw,6,2.666667,-5.080002,0,-5.080002,20,Southpaw vs Orthodox,Middleweight,-1.50000011920929,1.50000011920929
Steve Cantwell,Mike Massenzio,Mike Massenzio,0,1,-4,1.166667,0,0,5.080002,-9,Orthodox vs Southpaw,4,1.444444,0,0,-5.080002,9,Southpaw vs Orthodox,Middleweight,-0.277777791023254,0.277777791023254
Steve Cantwell,Brian Stann,Brian Stann,0,1,-6,1.166667,2.540009,-20,2.539993,-5,Orthodox vs Orthodox,6,2,-2.540009,20,-2.539993,5,Orthodox vs Orthodox,Light Heavyweight,-0.833333373069763,0.833333373069763
Steve Garcia,Chase Hooper,Steve Garcia,1,0,7,2.8,-2.539993,-10,2.539993,4,Southpaw vs Southpaw,-7,4,2.539993,10,-2.539993,-4,Southpaw vs Southpaw,Featherweight,-1.20000004768372,1.20000004768372
Steve Garcia,Charlie Ontiveros,Steve Garcia,1,0,-1,2.8,-5.080002,-10,2.539993,-1,Southpaw vs Switch,1,1.222222,5.080002,10,-2.539993,1,Switch vs Southpaw,Lightweight,1.57777774333954,-1.57777774333954
Steve Garcia,Luis Pena,Luis Pena,0,1,1,2.8,-7.619995,-10,0,7,Southpaw vs Southpaw,-1,3,7.619995,10,0,-7,Southpaw vs Southpaw,Lightweight,-0.200000047683716,0.200000047683716
Steve Garcia,Shayilan Nuerdanbieke,Steve Garcia,1,0,2,2.8,10.16,0,15.24001,-31,Southpaw vs Orthodox,-2,3.545455,-10.16,0,-15.24001,31,Orthodox vs Southpaw,Featherweight,-0.745454549789429,0.745454549789429
Steve Judson,Brad Kohler,Brad Kohler,0,1,,0,5.080002,10,-10,-25,Orthodox vs Orthodox,,0.8,-5.080002,-10,10,25,Orthodox vs Orthodox,Heavyweight,-0.800000011920929,0.800000011920929
Steve Judson,Tedd Williams,Tedd Williams,0,1,,0,-5.080002,-45,-2,-6,Orthodox vs Orthodox,,7,5.080002,45,2,6,Orthodox vs Orthodox,Heavyweight,-7,7
Steve Kennedy,Peter Sobotta,Peter Sobotta,0,1,4,3,-2.540009,0,-7.5,8,Orthodox vs Southpaw,-4,2.428571,2.540009,0,7.5,-8,Southpaw vs Orthodox,Welterweight,0.571428537368774,-0.571428537368774
Steve Kennedy,Richard Walsh,Richard Walsh,0,1,6,3,-2.540009,0,-2.419998,18,Orthodox vs Orthodox,-6,1.8,2.540009,0,2.419998,-18,Orthodox vs Orthodox,Welterweight,1.20000004768372,-1.20000004768372
Steve Lopez,Waylon Lowe,Waylon Lowe,0,1,-3,2.166667,10.16,10,10,-4,Orthodox vs Southpaw,3,2.285714,-10.16,-10,-10,4,Southpaw vs Orthodox,Lightweight,-0.11904764175415,0.11904764175415
Steve Lopez,Jim Miller,Jim Miller,0,1,-1,2.166667,7.619995,0,2.660004,-34,Orthodox vs Southpaw,1,2.117647,-7.619995,0,-2.660004,34,Southpaw vs Orthodox,Lightweight,4.90195751190186e-02,-4.90195751190186e-02
Steve Montgomery,Tony Sims,Tony Sims,0,1,-5,1.8,12.7,30,18.2,-2,Southpaw vs Southpaw,5,3,-12.7,-30,-18.2,2,Southpaw vs Southpaw,Welterweight,-1.20000004768372,1.20000004768372
Steven Graham,Dmitri Stepanov,Steven Graham,1,0,,2,-5.080002,73,-5,2,Orthodox vs Orthodox,,0,5.080002,-73,5,-2,Orthodox vs Orthodox,Heavyweight,2,-2
Steven Koslow,Cameron Saaiman,Cameron Saaiman,0,1,4,6,-2.540009,-10,5.080002,-2,Switch vs Southpaw,-4,9,2.540009,10,-5.080002,2,Southpaw vs Switch,Bantamweight,-3,3
Stevie Ray,Leonardo Santos,Leonardo Santos,0,1,-10,2.555556,-5.080002,0,-12.7,7,Southpaw vs Orthodox,10,2.571429,5.080002,0,12.7,-7,Orthodox vs Southpaw,Lightweight,-1.58729553222656e-02,1.58729553222656e-02
Stipe Miocic,Stefan Struve,Stefan Struve,0,1,6,5,-17.78001,-25,-10.16,-22,Orthodox vs Orthodox,-6,2.538461,17.78001,25,10.16,22,Orthodox vs Orthodox,Heavyweight,2.46153855323792,-2.46153855323792
Stipe Miocic,Francis Ngannou,Francis Ngannou,0,1,4,5,0,-10,-7.62001,4,Orthodox vs Orthodox,-4,5.666667,0,10,7.62001,-4,Orthodox vs Orthodox,Heavyweight,-0.666666507720947,0.666666507720947
Stipe Miocic,Francis Ngannou,Stipe Miocic,1,0,4,5,0,-10,-7.62001,4,Orthodox vs Orthodox,-4,5.666667,0,10,7.62001,-4,Orthodox vs Orthodox,Heavyweight,-0.666666507720947,0.666666507720947
Stipe Miocic,Fabricio Werdum,Stipe Miocic,1,0,-5,5,0,9,7.619995,-9,Orthodox vs Orthodox,5,2.666667,0,-9,-7.619995,9,Orthodox vs Orthodox,Heavyweight,2.33333325386047,-2.33333325386047
Stipe Miocic,Roy Nelson,Stipe Miocic,1,0,-6,5,10.15999,-23,17.78,-12,Orthodox vs Orthodox,6,1.571429,-10.15999,23,-17.78,12,Orthodox vs Orthodox,Heavyweight,3.42857146263123,-3.42857146263123
Stipe Miocic,Alistair Overeem,Stipe Miocic,1,0,-2,5,0,-25,0,-42,Orthodox vs Orthodox,2,2.473684,0,25,0,42,Orthodox vs Orthodox,Heavyweight,2.52631568908691,-2.52631568908691
Sultan Aliev,Bojan Velickovic,Sultan Aliev,1,0,5,5,-2.540009,0,-5.079987,-3,Orthodox vs Southpaw,-5,2.5,2.540009,0,5.079987,3,Southpaw vs Orthodox,Welterweight,2.5,-2.5
Sultan Aliev,Kenny Robertson,Kenny Robertson,0,1,0,5,2.539993,0,0,-2,Orthodox vs Orthodox,0,3,-2.539993,0,0,2,Orthodox vs Orthodox,Welterweight,2,-2
Sultan Aliev,Keita Nakamura,Sultan Aliev,1,0,0,5,0,0,2.540009,-26,Orthodox vs Southpaw,0,3.4,0,0,-2.540009,26,Southpaw vs Orthodox,Welterweight,1.59999990463257,-1.59999990463257
Sultan Aliev,Warlley Alves,Warlley Alves,0,1,6,5,0,0,5.080002,-3,Orthodox vs Orthodox,-6,2.5,0,0,-5.080002,3,Orthodox vs Orthodox,Welterweight,2.5,-2.5
Suman Mokhtarian,Sodiq Yusuff,Sodiq Yusuff,0,1,1,1.6,-2.539993,0,2.540009,-2,Orthodox vs Orthodox,-1,6.5,2.539993,0,-2.540009,2,Orthodox vs Orthodox,Featherweight,-4.89999997615814,4.89999997615814
Sung Bin Jo,Daniel Teymur,Daniel Teymur,0,1,-5,9,17.78,0,7.62001,-1,Orthodox vs Orthodox,5,1.75,-17.78,0,-7.62001,1,Orthodox vs Orthodox,Featherweight,7.25,-7.25
Syuri Kondo,Yan Xiaonan,Yan Xiaonan,0,1,0,2,-2.540009,0,7.619995,-11,Orthodox vs Orthodox,0,5.666667,2.540009,0,-7.619995,11,Orthodox vs Orthodox,"Women's Strawweight",-3.66666650772095,3.66666650772095
Syuri Kondo,Ashley Yoder,Ashley Yoder,0,1,-1,2,-7.619995,0,-7.619995,-7,Orthodox vs Southpaw,1,1,7.619995,0,7.619995,7,Southpaw vs Orthodox,"Women's Strawweight",1,-1
Tabatha Ricci,Polyana Viana,Tabatha Ricci,1,0,-2,9,-10.16,0,-15.23999,-9,Orthodox vs Orthodox,2,2.166667,10.16,0,15.23999,9,Orthodox vs Orthodox,"Women's Strawweight",6.83333325386047,-6.83333325386047
Tabatha Ricci,Gillian Robertson,Tabatha Ricci,1,0,0,9,-10.16,0,-5.080002,-10,Orthodox vs Orthodox,0,1.5,10.16,0,5.080002,10,Orthodox vs Orthodox,"Women's Strawweight",7.5,-7.5
Tae Hyun Bang,Jon Tuck,Jon Tuck,0,1,2,1.8,-5.080002,0,-5.080002,13,Switch vs Orthodox,-2,2,5.080002,0,5.080002,-13,Orthodox vs Switch,Lightweight,-0.200000047683716,0.200000047683716
Tae Hyun Bang,Kajan Johnson,Tae Hyun Bang,1,0,1,1.8,-5.080002,0,-10.16,-8,Switch vs Orthodox,-1,1.769231,5.080002,0,10.16,8,Orthodox vs Switch,Lightweight,3.07692289352417e-02,-3.07692289352417e-02
Tae Hyun Bang,Leo Kuntz,Tae Hyun Bang,1,0,0,1.8,-2.540009,0,0.3399963,6,Switch vs Orthodox,0,4.5,2.540009,0,-0.3399963,-6,Orthodox vs Switch,Lightweight,-2.70000004768372,2.70000004768372
Tae Hyun Bang,Mairbek Taisumov,Mairbek Taisumov,0,1,5,1.8,0,0,-5.080002,-5,Switch vs Orthodox,-5,4.5,0,0,5.080002,5,Orthodox vs Switch,Lightweight,-2.70000004768372,2.70000004768372
Tafon Nchukwi,Mike Rodriguez,Tafon Nchukwi,1,0,-6,1.5,-10.15999,-20,-12.7,-8,Orthodox vs Southpaw,6,1.571429,10.15999,20,12.7,8,Southpaw vs Orthodox,Light Heavyweight,-7.14285373687744e-02,7.14285373687744e-02
Tafon Nchukwi,Carlos Ulberg,Carlos Ulberg,0,1,-4,1.5,-10.15999,-20,0,-1,Orthodox vs Orthodox,4,10,10.15999,20,0,1,Orthodox vs Orthodox,Light Heavyweight,-8.5,8.5
Tafon Nchukwi,JunYong Park,JunYong Park,0,1,-4,1.5,5.080002,0,10.16,-12,Orthodox vs Orthodox,4,3.4,-5.080002,0,-10.16,12,Orthodox vs Orthodox,Middleweight,-1.90000009536743,1.90000009536743
Tafon Nchukwi,Jamie Pickett,Tafon Nchukwi,1,0,-6,1.5,-5.080002,0,-7.619995,-13,Orthodox vs Orthodox,6,1.3,5.080002,0,7.619995,13,Orthodox vs Orthodox,Middleweight,0.200000047683716,-0.200000047683716
Tai Bowden,Jack Nilson,Tai Bowden,1,0,,1,,,10,-6," vs ",,0.3333333,,,-10,6," vs ",Open Weight,0.666666656732559,-0.666666656732559
Tai Bowden,Steve Nelmark,Steve Nelmark,0,1,,1,-2.540009,-10,-17,-1," vs Orthodox",,2,2.540009,10,17,1,"Orthodox vs ",Open Weight,-1,1
Tai Tuivasa,Alexander Volkov,Alexander Volkov,0,1,-4,2.5,-12.7,14,-12.7,-26,Southpaw vs Orthodox,4,3.7,12.7,-14,12.7,26,Orthodox vs Southpaw,Heavyweight,-1.20000004768372,1.20000004768372
Taila Santos,Joanne Wood,Taila Santos,1,0,-7,6.333333,0,0,7.619995,-2,Orthodox vs Orthodox,7,2,0,0,-7.619995,2,Orthodox vs Orthodox,"Women's Flyweight",4.33333349227905,-4.33333349227905
Taila Santos,Valentina Shevchenko,Valentina Shevchenko,0,1,-6,6.333333,2.539993,0,5.080002,-5,Orthodox vs Southpaw,6,5.75,-2.539993,0,-5.080002,5,Southpaw vs Orthodox,"Women's Flyweight",0.583333492279053,-0.583333492279053
Takanori Gomi,Dong Hyun Ma,Dong Hyun Ma,0,1,10,2.5,-10.16,0,0,22,Southpaw vs Orthodox,-10,1.454545,10.16,0,0,-22,Orthodox vs Southpaw,Lightweight,1.04545450210571,-1.04545450210571
Takanori Gomi,Joe Lauzon,Joe Lauzon,0,1,5,2.5,-7.62001,0,-2.539993,5,Southpaw vs Orthodox,-5,1.75,7.62001,0,2.539993,-5,Orthodox vs Southpaw,Lightweight,0.75,-0.75
Takanori Gomi,Eiji Mitsuoka,Takanori Gomi,1,0,-3,2.5,0,10,4.800003,22,Southpaw vs Southpaw,3,2,0,-10,-4.800003,-22,Southpaw vs Southpaw,Lightweight,0.5,-0.5
Takanori Gomi,Myles Jury,Myles Jury,0,1,10,2.5,-7.62001,10,-7.619995,28,Southpaw vs Orthodox,-10,4.25,7.62001,-10,7.619995,-28,Orthodox vs Southpaw,Lightweight,-1.75,1.75
Takanori Gomi,Tyson Griffin,Takanori Gomi,1,0,5,2.5,2.539993,10,5.080002,25,Southpaw vs Orthodox,-5,2,-2.539993,-10,-5.080002,-25,Orthodox vs Southpaw,Lightweight,0.5,-0.5
Takanori Gomi,Isaac Vallie-Flagg,Takanori Gomi,1,0,-1,2.5,-2.540009,0,0,26,Southpaw vs Orthodox,1,2.285714,2.540009,0,0,-26,Orthodox vs Southpaw,Lightweight,0.214285612106323,-0.214285612106323
Takanori Gomi,Clay Guida,Clay Guida,0,1,3,2.5,0,0,0,-9,Southpaw vs Orthodox,-3,1.9,0,0,0,9,Orthodox vs Southpaw,Lightweight,0.600000023841858,-0.600000023841858
Takanori Gomi,Jon Tuck,Jon Tuck,0,1,6,2.5,-10.16,0,-7.619995,34,Southpaw vs Orthodox,-6,2,10.16,0,7.619995,-34,Orthodox vs Southpaw,Lightweight,0.5,-0.5
Takanori Gomi,Diego Sanchez,Diego Sanchez,0,1,3,2.5,-7.62001,-15,-5.080002,5,Southpaw vs Southpaw,-3,2.384615,7.62001,15,5.080002,-5,Southpaw vs Southpaw,Lightweight,0.115384578704834,-0.115384578704834
Takanori Gomi,Jim Miller,Jim Miller,0,1,5,2.5,-2.540009,0,-2.539993,-4,Southpaw vs Southpaw,-5,2.117647,2.540009,0,2.539993,4,Southpaw vs Southpaw,Lightweight,0.382352828979492,-0.382352828979492
Takashi Sato,Jason Witt,Takashi Sato,1,0,-3,2.285714,0,0,7.619995,-5,Southpaw vs Orthodox,3,2.111111,0,0,-7.619995,5,Orthodox vs Southpaw,Welterweight,0.174603223800659,-0.174603223800659
Takashi Sato,Ben Saunders,Takashi Sato,1,0,-8,2.285714,-10.16,0,-10.16,-12,Southpaw vs Orthodox,8,1.692308,10.16,0,10.16,12,Orthodox vs Southpaw,Welterweight,0.593406677246094,-0.593406677246094
Takenori Sato,Erick Silva,Erick Silva,0,1,-1,1.727273,-5.080002,0,-7.960007,2,Southpaw vs Orthodox,1,2.111111,5.080002,0,7.960007,-2,Orthodox vs Southpaw,Welterweight,-0.383838415145874,0.383838415145874
Takeya Mizugaki,Eddie Wineland,Eddie Wineland,0,1,1,1.909091,0,0,0,-8,Orthodox vs Orthodox,-1,1.5,0,0,0,8,Orthodox vs Orthodox,Bantamweight,0.409090876579285,-0.409090876579285
Takeya Mizugaki,Erik Perez,Takeya Mizugaki,1,0,6,1.909091,-2.540009,0,2.539993,9,Orthodox vs Orthodox,-6,2.833333,2.540009,0,-2.539993,-9,Orthodox vs Orthodox,Bantamweight,-0.924242377281189,0.924242377281189
Takeya Mizugaki,Nam Phan,Takeya Mizugaki,1,0,-1,1.909091,2.539993,0,-2.540009,-6,Orthodox vs Orthodox,1,1.235294,-2.539993,0,2.540009,6,Orthodox vs Orthodox,Bantamweight,0.673796772956848,-0.673796772956848
Takeya Mizugaki,Francisco Rivera,Takeya Mizugaki,1,0,-2,1.909091,-2.540009,0,-2.540009,14,Orthodox vs Orthodox,2,1.571429,2.540009,0,2.540009,-14,Orthodox vs Orthodox,Bantamweight,0.33766233921051,-0.33766233921051
Takeya Mizugaki,Aljamain Sterling,Aljamain Sterling,0,1,6,1.909091,0,0,-5.080002,5,Orthodox vs Orthodox,-6,5.75,0,0,5.080002,-5,Orthodox vs Orthodox,Bantamweight,-3.84090912342072,3.84090912342072
Takeya Mizugaki,George Roop,Takeya Mizugaki,1,0,-2,1.909091,-15.24001,0,-7.62001,4,Orthodox vs Orthodox,2,1.153846,15.24001,0,7.62001,-4,Orthodox vs Orthodox,Bantamweight,0.755244731903076,-0.755244731903076
Talita Bernardo,Marion Reneau,Marion Reneau,0,1,-10,1.5,-5.080002,0,0,-7,Orthodox vs Orthodox,10,1.125,5.080002,0,0,7,Orthodox vs Orthodox,"Women's Bantamweight",0.375,-0.375
Talita Bernardo,Sarah Moras,Talita Bernardo,1,0,1,1.5,-7.619995,0,2.540009,-4,Orthodox vs Orthodox,-1,0.75,7.619995,0,-2.540009,4,Orthodox vs Orthodox,"Women's Bantamweight",0.75,-0.75
Tamdan McCrory,Pete Spratt,Tamdan McCrory,1,0,-16,2.8,17.78,15,15.03999,-29,Switch vs Orthodox,16,1.086957,-17.78,-15,-15.03999,29,Orthodox vs Switch,Welterweight,1.7130434513092,-1.7130434513092
Tamdan McCrory,Josh Samman,Tamdan McCrory,1,0,2,2.8,2.539993,0,-7.62001,2,Switch vs Orthodox,-2,3.25,-2.539993,0,7.62001,-2,Orthodox vs Switch,Middleweight,-0.450000047683716,0.450000047683716
Tanner Boser,Raphael Pessoa,Tanner Boser,1,0,-3,2.1,-2.539993,-57,-7.619995,19,Orthodox vs Orthodox,3,5,2.539993,57,7.619995,-19,Orthodox vs Orthodox,Heavyweight,-2.90000009536743,2.90000009536743
Tanner Boser,Ilir Latifi,Ilir Latifi,0,1,-9,2.1,10.16,-25,5.080002,5,Orthodox vs Orthodox,9,1.888889,-10.16,25,-5.080002,-5,Orthodox vs Orthodox,Heavyweight,0.211111068725586,-0.211111068725586
Tanner Boser,Daniel Spitz,Tanner Boser,1,0,-1,2.1,-12.7,-40,-17.78,22,Orthodox vs Orthodox,1,2,12.7,40,17.78,-22,Orthodox vs Orthodox,Heavyweight,9.99999046325684e-02,-9.99999046325684e-02
Tanner Boser,Philipe Lins,Tanner Boser,1,0,-6,2.1,0,0,-7.619995,9,Orthodox vs Orthodox,6,3.4,0,0,7.619995,-9,Orthodox vs Orthodox,Heavyweight,-1.30000019073486,1.30000019073486
Tanner Boser,Aleksa Camur,Tanner Boser,1,0,5,2.1,2.540009,0,2.539993,22,Orthodox vs Orthodox,-5,2,-2.540009,0,-2.539993,-22,Orthodox vs Orthodox,Light Heavyweight,9.99999046325684e-02,-9.99999046325684e-02
Tanner Boser,Ovince Saint Preux,Tanner Boser,1,0,-9,2.1,-2.539993,0,-12.7,-12,Orthodox vs Southpaw,9,1.529412,2.539993,0,12.7,12,Southpaw vs Orthodox,Heavyweight,0.570588111877441,-0.570588111877441
Tanner Boser,Ciryl Gane,Ciryl Gane,0,1,-1,2.1,-5.079987,-40,-15.24001,17,Orthodox vs Orthodox,1,6,5.079987,40,15.24001,-17,Orthodox vs Orthodox,Heavyweight,-3.90000009536743,3.90000009536743
Tanner Boser,Ion Cutelaba,Ion Cutelaba,0,1,2,2.1,2.540009,0,0,5,Orthodox vs Southpaw,-2,1.888889,-2.540009,0,0,-5,Southpaw vs Orthodox,Light Heavyweight,0.211111068725586,-0.211111068725586
Tanner Boser,Rodrigo Nascimento,Rodrigo Nascimento,0,1,2,2.1,0,-41,-12.7,21,Orthodox vs Orthodox,-2,9,0,41,12.7,-21,Orthodox vs Orthodox,Heavyweight,-6.90000009536743,6.90000009536743
Tarec Saffiedine,Rick Story,Rick Story,0,1,-2,2.285714,2.540009,0,-2.539993,-5,Switch vs Southpaw,2,2.111111,-2.540009,0,2.539993,5,Southpaw vs Switch,Welterweight,0.174603223800659,-0.174603223800659
Tateki Matsuda,Joby Sanchez,Joby Sanchez,0,1,5,1.625,2.539993,-10,-6.720001,6,Orthodox vs Orthodox,-5,2.75,-2.539993,10,6.720001,-6,Orthodox vs Orthodox,Flyweight,-1.125,1.125
Tatsuro Taira,CJ Vergara,Tatsuro Taira,1,0,-9,14,2.539993,0,5.080002,-2,Orthodox vs Orthodox,9,3,-2.539993,0,-5.080002,2,Orthodox vs Orthodox,Flyweight,11,-11
Tatsuya Kawajiri,Dennis Siver,Tatsuya Kawajiri,1,0,1,3.272727,2.539993,0,-2.540009,13,Orthodox vs Orthodox,-1,2.090909,-2.539993,0,2.540009,-13,Orthodox vs Orthodox,Featherweight,1.18181824684143,-1.18181824684143
Tatsuya Kawajiri,Jason Knight,Tatsuya Kawajiri,1,0,14,3.272727,-7.62001,0,-5.080002,22,Orthodox vs Orthodox,-14,4,7.62001,0,5.080002,-22,Orthodox vs Orthodox,Featherweight,-0.727272748947144,0.727272748947144
Tatsuya Kawajiri,Cub Swanson,Cub Swanson,0,1,6,3.272727,-2.540009,0,-2.540009,5,Orthodox vs Orthodox,-6,2.230769,2.540009,0,2.540009,-5,Orthodox vs Orthodox,Featherweight,1.04195809364319,-1.04195809364319
Tatsuya Kawajiri,Sean Soriano,Tatsuya Kawajiri,1,0,11,3.272727,-5.080002,0,-2.540009,25,Orthodox vs Orthodox,-11,1.75,5.080002,0,2.540009,-25,Orthodox vs Orthodox,Featherweight,1.52272725105286,-1.52272725105286
Taylor Lapilus,Yuta Sasaki,Taylor Lapilus,1,0,-2,6.333333,-10.16,10,5.080002,-5,Southpaw vs Southpaw,2,3.5,10.16,-10,-5.080002,5,Southpaw vs Southpaw,Bantamweight,2.83333349227905,-2.83333349227905
Taylor Lapilus,Caolan Loughran,Taylor Lapilus,1,0,4,6.333333,0,0,12.7,13,Southpaw vs Orthodox,-4,8,0,0,-12.7,-13,Orthodox vs Southpaw,Bantamweight,-1.66666650772095,1.66666650772095
Taylor Lapilus,Rocky Lee,Taylor Lapilus,1,0,-5,6.333333,-7.619995,-10,7.419998,17,Southpaw vs Orthodox,5,1.5,7.619995,10,-7.419998,-17,Orthodox vs Southpaw,Featherweight,4.83333349227905,-4.83333349227905
Taylor Lapilus,Erik Perez,Erik Perez,0,1,-3,6.333333,-5.080002,0,12.7,-1,Southpaw vs Orthodox,3,2.833333,5.080002,0,-12.7,1,Orthodox vs Southpaw,Bantamweight,3.50000023841858,-3.50000023841858
Te Edwards,Don Madge,Don Madge,0,1,1,2,-10.16,0,0,-3,Orthodox vs Southpaw,-1,3,10.16,0,0,3,Southpaw vs Orthodox,Lightweight,-1,1
Tecia Torres,Zhang Weili,Zhang Weili,0,1,0,2.166667,-7.619995,0,-7.62001,-8,Orthodox vs Switch,0,8,7.619995,0,7.62001,8,Switch vs Orthodox,"Women's Strawweight",-5.83333325386047,5.83333325386047
Tecia Torres,Michelle Waterson-Gomez,Tecia Torres,1,0,-3,2.166667,-5.080002,0,-5.080002,-11,Orthodox vs Orthodox,3,1.5,5.080002,0,5.080002,11,Orthodox vs Orthodox,"Women's Strawweight",0.666666746139526,-0.666666746139526
Tereza Bleda,Gabriella Fernandes,Tereza Bleda,1,0,-8,7,7.619995,0,12.7,-3,Orthodox vs Southpaw,8,2.666667,-7.619995,0,-12.7,3,Southpaw vs Orthodox,"Women's Flyweight",4.33333325386047,-4.33333325386047
Tereza Bleda,Natalia Silva,Natalia Silva,0,1,-5,7,12.7,0,15.23999,-13,Orthodox vs Southpaw,5,3.2,-12.7,0,-15.23999,13,Southpaw vs Orthodox,"Women's Flyweight",3.79999995231628,-3.79999995231628
Terrance McKinney,Nazim Sadykhov,Nazim Sadykhov,0,1,-1,2.8,0,0,10.16,9,Switch vs Southpaw,1,9,0,0,-10.16,-9,Southpaw vs Switch,Lightweight,-6.20000004768372,6.20000004768372
Terrance McKinney,Fares Ziam,Terrance McKinney,1,0,3,2.8,-7.619995,0,-5.080002,1,Switch vs Orthodox,-3,3.5,7.619995,0,5.080002,-1,Orthodox vs Switch,Lightweight,-0.700000047683716,0.700000047683716
Terrence Mitchell,Raul Rosas Jr.,Raul Rosas Jr.,0,1,15,3.5,2.540009,0,17.78001,9,Orthodox vs Switch,-15,8,-2.540009,0,-17.78001,-9,Switch vs Orthodox,Bantamweight,-4.5,4.5
Terrence Mitchell,Cameron Saaiman,Cameron Saaiman,0,1,11,3.5,5.080002,0,17.78001,9,Orthodox vs Southpaw,-11,9,-5.080002,0,-17.78001,-9,Southpaw vs Orthodox,Bantamweight,-5.5,5.5
Terry Etim,Matt Grice,Terry Etim,1,0,-4,3.2,12.7,10,7.619995,1,Orthodox vs Orthodox,4,3,-12.7,-10,-7.619995,-1,Orthodox vs Orthodox,Lightweight,0.200000047683716,-0.200000047683716
Terry Etim,Shannon Gugerty,Terry Etim,1,0,-4,3.2,7.619995,0,5.080002,-1,Orthodox vs Orthodox,4,2.142857,-7.619995,0,-5.080002,1,Orthodox vs Orthodox,Lightweight,1.05714297294617,-1.05714297294617
Terry Etim,Renee Forte,Renee Forte,0,1,2,3.2,15.24001,0,5.080002,9,Orthodox vs Orthodox,-2,2,-15.24001,0,-5.080002,-9,Orthodox vs Orthodox,Lightweight,1.20000004768372,-1.20000004768372
Terry Etim,Gleison Tibau,Gleison Tibau,0,1,-2,3.2,7.619995,0,5.080002,-26,Orthodox vs Southpaw,2,2.357143,-7.619995,0,-5.080002,26,Southpaw vs Orthodox,Lightweight,0.842857122421265,-0.842857122421265
Terry Etim,Edward Faaloloto,Terry Etim,1,0,-2,3.2,,0,7.619995,14,Orthodox vs Orthodox,2,0.4,,0,-7.619995,-14,Orthodox vs Orthodox,Lightweight,2.80000004172325,-2.80000004172325
Terry Etim,Sam Stout,Terry Etim,1,0,-2,3.2,10.16,0,7.619995,-11,Orthodox vs Orthodox,2,1.666667,-10.16,0,-7.619995,11,Orthodox vs Orthodox,Lightweight,1.53333342075348,-1.53333342075348
Terry Martin,Jorge Rivera,Terry Martin,1,0,-8,2.090909,-12.7,0,-5.080002,5,Orthodox vs Orthodox,8,2.222222,12.7,0,5.080002,-5,Orthodox vs Orthodox,Middleweight,-0.131313323974609,0.131313323974609
Terry Martin,Ivan Salaverry,Terry Martin,1,0,-10,2.090909,-10.16,0,-4.660004,11,Orthodox vs Orthodox,10,1.555556,10.16,0,4.660004,-11,Orthodox vs Orthodox,Middleweight,0.535353422164917,-0.535353422164917
