l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Lerone Murphy,Ricardo Ramos,Lerone Murphy,1,0,4,13,0,0,2.539993,-8,Orthodox vs Orthodox,-4,3.2,0,0,-2.539993,8,Orthodox vs Orthodox,Featherweight,9.79999995231628,-9.79999995231628
Lerone Murphy,Gabriel Santos,Lerone Murphy,1,0,5,13,0,0,7.619995,1,Orthodox vs Orthodox,-5,5,0,0,-7.619995,-1,Orthodox vs Orthodox,Featherweight,8,-8
Lewis Gonzalez,Leandro Silva,Leandro Silva,0,1,-2,3.666667,2.540009,15,-2.880005,-12,Orthodox vs Orthodox,2,3.333333,-2.540009,-15,2.880005,12,Orthodox vs Orthodox,Welterweight,0.333333492279053,-0.333333492279053
Li Jingliang,Dhiego Lima,Li Jingliang,1,0,1,2.375,-5.080002,0,-10.16,1,Orthodox vs Orthodox,-1,1.888889,5.080002,0,10.16,-1,Orthodox vs Orthodox,Welterweight,0.486111164093018,-0.486111164093018
Li Jingliang,Daniel Rodriguez,Daniel Rodriguez,0,1,-1,2.375,-2.539993,0,-7.62001,6,Orthodox vs Southpaw,1,4.25,2.539993,0,7.62001,-6,Southpaw vs Orthodox,Catch Weight,-1.875,1.875
Li Jingliang,Jake Matthews,Jake Matthews,0,1,6,2.375,2.540009,0,-5.080002,2,Orthodox vs Orthodox,-6,3.166667,-2.540009,0,5.080002,-2,Orthodox vs Orthodox,Welterweight,-0.791666746139526,0.791666746139526
Li Jingliang,Muslim Salikhov,Li Jingliang,1,0,-4,2.375,2.540009,0,2.539993,4,Orthodox vs Orthodox,4,4.75,-2.540009,0,-2.539993,-4,Orthodox vs Orthodox,Welterweight,-2.375,2.375
Li Jingliang,David Michaud,Li Jingliang,1,0,1,2.375,7.62001,15,2.339996,13,Orthodox vs Orthodox,-1,3.666667,-7.62001,-15,-2.339996,-13,Orthodox vs Orthodox,Welterweight,-1.29166674613953,1.29166674613953
Li Jingliang,David Zawada,Li Jingliang,1,0,2,2.375,0,0,-10.16,3,Orthodox vs Orthodox,-2,2.428571,0,0,10.16,-3,Orthodox vs Orthodox,Welterweight,-5.35714626312256e-02,5.35714626312256e-02
Li Jingliang,Elizeu Zaleski dos Santos,Li Jingliang,1,0,-1,2.375,2.540009,0,-5.080002,-4,Orthodox vs Orthodox,1,3.428571,-2.540009,0,5.080002,4,Orthodox vs Orthodox,Welterweight,-1.05357146263123,1.05357146263123
Li Jingliang,Anton Zafir,Li Jingliang,1,0,-1,2.375,2.540009,0,-2.660004,17,Orthodox vs Orthodox,1,2.333333,-2.540009,0,2.660004,-17,Orthodox vs Orthodox,Welterweight,4.16667461395264e-02,-4.16667461395264e-02
Li Jingliang,Zak Ottow,Li Jingliang,1,0,-1,2.375,2.540009,0,-2.540009,3,Orthodox vs Orthodox,1,2.428571,-2.540009,0,2.540009,-3,Orthodox vs Orthodox,Welterweight,-5.35714626312256e-02,5.35714626312256e-02
Li Jingliang,Bobby Nash,Li Jingliang,1,0,2,2.375,0,0,-7.62001,15,Orthodox vs Orthodox,-2,2,0,0,7.62001,-15,Orthodox vs Orthodox,Welterweight,0.375,-0.375
Li Jingliang,Neil Magny,Neil Magny,0,1,-1,2.375,-7.619995,0,-22.86,-13,Orthodox vs Orthodox,1,2.333333,7.619995,0,22.86,13,Orthodox vs Orthodox,Welterweight,4.16667461395264e-02,-4.16667461395264e-02
