l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,0,12,8,12,8,0,0,0,0,0,11,5,11,5,0,0,0,0,0,0,KO/TKO,3,1,0:38,1,0,16.111111164093,-16.111111164093
Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,2,41,21,41,21,0,0,0,0,0,36,11,36,11,0,0,0,0,5,0,KO/TKO,3,1,4:19,1,0,16.111111164093,-16.111111164093
Magomed Ankalaev,Anthony Smith,Magomed Ankalaev,0,102,64,79,46,0,0,0,0,0,39,21,36,18,1,0,0,0,146,51,KO/TKO,3,2,3:09,1,0,15.9444444179535,-15.9444444179535
Magomed Ankalaev,Volkan Oezdemir,Magomed Ankalaev,1,118,76,108,66,4,1,0,0,0,112,56,102,48,1,0,0,0,105,0,Decision,3,3,5:00,1,0,15.2857143878937,-15.2857143878937
Magomed Ankalaev,Dalcha Lungiambula,Magomed Ankalaev,1,123,91,67,44,3,1,0,0,0,33,13,26,6,2,0,0,0,334,20,KO/TKO,3,3,0:29,1,0,16.1666666269302,-16.1666666269302
Magomed Ankalaev,Marcin Prachnio,Magomed Ankalaev,1,27,12,27,12,0,0,0,0,0,22,3,22,3,0,0,0,0,2,0,KO/TKO,3,1,3:09,1,0,15.7142856121063,-15.7142856121063
Magomed Ankalaev,Thiago Santos,Magomed Ankalaev,0,191,114,155,78,2,1,0,0,1,160,81,138,60,0,0,0,0,215,17,Decision,5,5,5:00,1,0,16,-16
Magomed Ankalaev,Paul Craig,Paul Craig,0,129,89,96,59,0,0,0,2,0,70,34,50,18,7,2,1,0,402,107,Submission,3,3,4:59,0,1,15.1666667461395,-15.1666667461395
Magomed Mustafaev,Joe Proctor,Magomed Mustafaev,1,31,22,27,18,0,0,0,0,0,13,9,13,9,0,0,0,0,6,0,KO/TKO,3,1,1:54,1,0,1.29999995231628,-1.29999995231628
Magomed Mustafaev,Brad Riddell,Brad Riddell,0,56,36,46,28,11,8,0,0,1,97,60,72,38,1,1,0,0,423,122,Decision,3,3,5:00,0,1,1,-1
Maia Stevenson,Polyana Viana,Polyana Viana,0,16,11,11,6,1,1,0,0,0,35,25,18,12,2,1,3,1,89,106,Submission,3,1,3:50,0,1,-0.966666698455811,0.966666698455811
Maiquel Falcao,Gerald Harris,Maiquel Falcao,1,77,54,45,25,1,1,3,0,0,61,8,61,8,7,2,0,0,244,58,Decision,3,3,5:00,1,0,-0.899999856948853,0.899999856948853
Makhmud Muradov,Trevor Smith,Makhmud Muradov,1,183,91,183,91,1,1,1,0,0,96,39,96,39,1,0,0,0,7,6,KO/TKO,3,3,4:09,1,0,1.75,-1.75
Makhmud Muradov,Andrew Sanchez,Makhmud Muradov,0,177,82,174,79,2,0,0,0,0,144,50,141,48,2,0,0,0,16,22,KO/TKO,3,3,2:59,1,0,1.39285719394684,-1.39285719394684
Maki Pitolo,Callan Potter,Callan Potter,0,198,103,155,60,2,0,1,1,0,198,127,96,48,4,3,0,1,94,505,Decision,3,3,5:00,0,1,-0.555555582046509,0.555555582046509
